date,item,kolkata,delhi,mumbai,chennai
2023-05-02,PLATES 25 MM,69700,72380,74850,74720
2023-05-15,TMT 10 MM,64490,66450,66400,69280
2023-05-15,TMT 25 MM,64630,85420,65970,88530
2023-05-15,CHANNELS 150X75 MM,65810,66670,67640,65700
2023-05-15,PLATES 10 MM,65870,69130,70540,72350
2023-06-01,TMT 10 MM,62590,65000,64940,88160
2023-06-01,TMT 25 MM,62500,63920,64150,67600
2023-06-01,ANGLES 75X75X6 MM,63550,65300,65150,64820
2023-06-01,CHANNELS 150X75 MM,64260,65500,65660,85110
2023-06-01,PLATES 10 MM,64750,68350,68940,72220
2023-06-01,PLATES 25 MM,67000,71490,71260,74340
2023-06-15,TMT 10 MM,61090,63770,63610,65140
2023-06-15,TMT 25 MM,60920,62450,63260,64880
2023-06-15,ANGLES 75X75X6 MM,62000,65040,65110,63210
2023-06-15,CHANNELS 150X75 MM,61500,64980,65580,63510
2023-06-15,PLATES 10 MM,64250,67170,66940,69500
2023-06-15,PLATES 25 MM,66750,70120,72790,73060
2023-07-01,TMT 10 MM,60680,63430,61830,61910
2023-07-01,ANGLES 75X75X6 MM,61550,64120,64080,63210
2023-07-01,PLATES 10 MM,63740,66440,66300,68440
2023-07-01,PLATES 25 MM,60320,62450,61560,61320
2023-07-15,TMT 10 MM,58500,52050,59980,62060
2023-07-15,ANGLES 75X75X6 MM,59670,62980,63240,62760
2023-07-15,CHANNELS 150X75 MM,58790,63360,64830,63060
2023-07-15,PLATES 10 MM,62500,65490,67360,67500
2023-08-01,TMT 10 MM,58350,60740,60590,60700
2023-08-01,TMT 25 MM,58320,60440,60240,60630
2023-08-01,ANGLES 75X75X6 MM,59600,62170,62680,61500
2023-08-01,PLATES 10 MM,63550,65360,87010,67500
2023-08-01,PLATES 25 MM,67030,69190,71480,71780
2023-08-16,TMT 25 MM,57250,60440,61650,60630
2023-08-16,ANGLES 75X75X6 MM,58590,62110,63060,60500
2023-08-16,CHANNELS 150X75 MM,57170,62270,84206,61580
2023-08-16,PLATES 10 MM,62500,65360,67120,67500
2023-08-16,PLATES 25 MM,65750,69190,71380,74780
2023-09-01,TMT 25 MM,60740,63720,64510,62590
2023-09-01,ANGLES 75X75X6 MM,62210,64490,84120,63410
2023-09-01,CHANNELS 150X75 MM,60170,64610,65510,63536
2023-09-01,PLATES 10 MM,65550,67970,67680,69250
2023-09-01,PLATES 25 MM,67560,71750,74910,72610
